Year - Split 1,zipcode,Avg. Median Price
2011,11434,249316.666666667
2012,11434,254441.666666667
2013,11434,266933.333333333
2014,11434,281158.333333333
2015,11434,297491.666666667
2016,11434,336333.333333333
2017,11434,371633.333333333
2018,11434,386604.806248129
2019,11434,413195.887472204
2020,11434,441615.930957581
2021,11434,471990.734633461
2011,11234,375083.333333333
2012,11234,367200
2013,11234,376408.333333333
2014,11234,393616.666666667
2015,11234,415900
2016,11234,443800
2017,11234,471900
2018,11234,484574.25034018
2019,11234,505255.598905755
2020,11234,526819.615459136
2021,11234,549303.971759216
2011,11231,652500
2012,11231,666225
2013,11231,769433.333333333
2014,11231,938083.333333333
2015,11231,1027391.66666667
2016,11231,1117050
2017,11231,1196583.33333333
2018,11231,1330362.74597254
2019,11231,1461705.4366885
2020,11231,1606015.19406106
2021,11231,1764572.21736712
2011,11217,644050
2012,11217,681158.333333333
2013,11217,779108.333333333
2014,11217,912716.666666667
2015,11217,1040725
2016,11217,1199775
2017,11217,1247833.33333333
2018,11217,1411294.29286567
2019,11217,1566077.64285295
2020,11217,1737836.81819033
2021,11217,1928433.63829407
2011,11215,601775
2012,11215,625758.333333333
2013,11215,720658.333333333
2014,11215,849441.666666667
2015,11215,939791.666666667
2016,11215,979683.333333333
2017,11215,1050483.33333333
2018,11215,1121055.11462718
2019,11215,1190272.67430051
2020,11215,1259490.23397384
2021,11215,1328707.79364716
2011,11201,794700
2012,11201,838683.333333333
2013,11201,932691.666666667
2014,11201,1148191.66666667
2015,11201,1293416.66666667
2016,11201,1338916.66666667
2017,11201,1402783.33333333
2018,11201,1520132.17332082
2019,11201,1617822.1893453
2020,11201,1715512.20536978
2021,11201,1813202.22139426
2011,10314,275391.666666667
2012,10314,268666.666666667
2013,10314,274750
2014,10314,284100
2015,10314,292266.666666667
2016,10314,316316.666666667
2017,10314,345450
2018,10314,350119.13910597
2019,10314,364945.855350968
2020,10314,380400.447910215
2021,10314,396509.505858423
2011,10312,285891.666666667
2012,10312,280141.666666667
2013,10312,292666.666666667
2014,10312,300666.666666667
2015,10312,309400
2016,10312,321833.333333333
2017,10312,345500
2018,10312,350064.577837271
2019,10312,361618.245751892
2020,10312,373553.235430359
2021,10312,385882.132164952
2011,10309,302891.666666667
2012,10309,299050
2013,10309,308733.333333333
2014,10309,317616.666666667
2015,10309,325908.333333333
2016,10309,344716.666666667
2017,10309,374650
2018,10309,379441.158790301
2019,10309,393783.693221795
2020,10309,408668.362551291
2021,10309,424115.658990193
2011,10308,317475
2012,10308,309608.333333333
2013,10308,315350
2014,10308,319791.666666667
2015,10308,325225
2016,10308,350575
2017,10308,391133.333333333
2018,10308,363488.395182292
2019,10308,363488.395182292
2020,10308,363488.395182292
2021,10308,363488.395182292
2011,10306,282266.666666667
2012,10306,273691.666666667
2013,10306,274091.666666667
2014,10306,278375
2015,10306,292841.666666667
2016,10306,312925
2017,10306,340050
2018,10306,341256.076127617
2019,10306,353116.095884724
2020,10306,365388.29898003
2021,10306,378087.010440624
2011,10305,306433.333333333
2012,10305,299750
2013,10305,302233.333333333
2014,10305,312216.666666667
2015,10305,321816.666666667
2016,10305,362683.333333333
2017,10305,407033.333333333
2018,10305,372834.5703125
2019,10305,372834.5703125
2020,10305,372834.5703125
2021,10305,372834.5703125
2011,10304,246991.666666667
2012,10304,232925
2013,10304,237225
2014,10304,239983.333333333
2015,10304,259041.666666667
2016,10304,278400
2017,10304,312416.666666667
2018,10304,288039.241536458
2019,10304,288039.241536458
2020,10304,288039.241536458
2021,10304,288039.241536458
2011,10303,242650
2012,10303,231941.666666667
2013,10303,232358.333333333
2014,10303,242425
2015,10303,256350
2016,10303,279441.666666667
2017,10303,313333.333333333
2018,10303,316348.244320633
2019,10303,332050.187460579
2020,10303,348531.49645065
2021,10303,365830.855109969
2011,10128,998683.333333333
2012,10128,1057341.66666667
2013,10128,1151966.66666667
2014,10128,1238658.33333333
2015,10128,1375658.33333333
2016,10128,1525491.66666667
2017,10128,1648883.33333333
2018,10128,1761900.60404195
2019,10128,1902284.62944289
2020,10128,2053854.11816824
2021,10128,2217500.3011784
2011,10036,1265750
2012,10036,1307291.66666667
2013,10036,1427841.66666667
2014,10036,1640875
2015,10036,1698066.66666667
2016,10036,1749125
2017,10036,1729166.66666667
2018,10036,1702631.81966146
2019,10036,1702631.81966146
2020,10036,1702631.81966146
2021,10036,1702631.81966146
2011,10028,1279825
2012,10028,1295166.66666667
2013,10028,1408716.66666667
2014,10028,1569716.66666667
2015,10028,1548758.33333333
2016,10028,1723391.66666667
2017,10028,1909750
2018,10028,1976357.56245396
2019,10028,2100104.99159407
2020,10028,2231600.72828222
2021,10028,2371329.92417188
2011,10025,899041.666666667
2012,10025,916383.333333333
2013,10025,1042225
2014,10025,1148841.66666667
2015,10025,1243383.33333333
2016,10025,1359266.66666667
2017,10025,1358600
2018,10025,1457863.57260622
2019,10025,1533007.09981786
2020,10025,1608150.6270295
2021,10025,1683294.15424113
2011,10023,1381141.66666667
2012,10023,1386575
2013,10023,1502850
2014,10023,1722291.66666667
2015,10023,1742933.33333333
2016,10023,1926233.33333333
2017,10023,2013716.66666667
2018,10023,2139412.95865713
2019,10023,2271913.80953586
2020,10023,2412620.87203566
2021,10023,2562042.38371669
2011,10022,1381600
2012,10022,1418133.33333333
2013,10022,1467666.66666667
2014,10022,1673025
2015,10022,1700375
2016,10022,1750883.33333333
2017,10022,1884400
2018,10022,1954511.99986624
2019,10022,2046915.88100649
2020,10022,2143688.36016526
2021,10022,2245035.97248383
2011,10021,1248975
2012,10021,1273025
2013,10021,1344716.66666667
2014,10021,1472458.33333333
2015,10021,1488116.66666667
2016,10021,1621466.66666667
2017,10021,1717183.33333333
2018,10021,1783454.66336255
2019,10021,1872679.40793834
2020,10021,1966367.99183013
2021,10021,2064743.73718396
2011,10014,1649441.66666667
2012,10014,1750358.33333333
2013,10014,1967233.33333333
2014,10014,2110183.33333333
2015,10014,2225658.33333333
2016,10014,2412391.66666667
2017,10014,2473150
2018,10014,2647409.7744926
2019,10014,2804273.3650013
2020,10014,2970431.39351666
2021,10014,3146434.5715045
2011,10013,2330308.33333333
2012,10013,2601450
2013,10013,2780116.66666667
2014,10013,3038425
2015,10013,3104908.33333333
2016,10013,3296133.33333333
2017,10013,3224516.66666667
2018,10013,3181035.28645833
2019,10013,3181035.28645833
2020,10013,3181035.28645833
2021,10013,3181035.28645833
2011,10011,1444483.33333333
2012,10011,1565866.66666667
2013,10011,1799950
2014,10011,2026683.33333333
2015,10011,2059575
2016,10011,2278891.66666667
2017,10011,2373500
2018,10011,2562563.79194805
2019,10011,2742316.02252675
2020,10011,2934677.05703047
2021,10011,3140531.34588248
2011,10003,1358658.33333333
2012,10003,1376516.66666667
2013,10003,1544758.33333333
2014,10003,1735900
2015,10003,1817550
2016,10003,1934525
2017,10003,2016550
2018,10003,2159543.28147658
2019,10003,2294008.78189995
2020,10003,2436846.87247199
2021,10003,2588578.87848116
